Country,GDP,Total_Population,Population_Lack_Access_Safe_Water
Trinidad and Tobago,"23,577,857,645","1,333,082","35,801"
Tunisia,"46,434,616,144","10,673,800","778,607"
Turkey,"774,775,177,386","73,058,638","521,707"
Turkmenistan,"29,233,333,333","5,106,668","1,432,909"
Turks and Caicos Islands,"728,000,000","31,726",0
Tuvalu,"39,313,509","9,844",247
Uganda,"16,822,413,295","35,148,064","4,203,712"
Ukraine,"163,422,495,340","45,706,100","914,122"
United Arab Emirates,"348,594,972,517","8,925,096",0
United Kingdom,"2,478,930,645,161","62,752,472",0
United States,"15,533,800,000,000","311,587,816","15,401,910"
Uruguay,"46,434,697,451","3,383,486","62,624"
Uzbekistan,"45,324,317,482","29,341,250","2,207,823"
Vanuatu,"786,294,694","241,778","10,856"
"Venezuela, RB","316,482,190,800","29,500,625","7,011,093"
Vietnam,"135,539,487,317","87,840,000","1,635,700"
Virgin Islands (U.S.),"3,778,000,000","105,784",0
West Bank and Gaza,"6,641,000,000","3,927,051","706,869"
"Yemen, Rep.","31,724,633,891","23,304,206","8,408,437"
Zambia,"19,204,037,684","13,633,796","3,831,035"
Zimbabwe,"8,865,427,917","13,358,738","1,845,345"
